Energy (eV),Column_A
1.1,2
1.2,2
1.3,2
1.4,2
1.5,2
1.6,2
1.7,2
1.8,2
2.0,2
2.25,2
2.49999,2
2.74999,2
2.99999,2
3.24999,2
3.49999,3
3.74999,3
3.99999,3
4.49999,3
4.99999,3
5.49999,3
5.99999,3
6.49999,3
6.99999,3
7.99999,3
8.99999,4
9.99999,4
10.9999,4
11.9999,4
12.9999,4
13.9999,4
14.9999,4
15.9999,5
16.9999,5
17.9999,5
19.9999,5
22.4999,5
24.9999,6
27.4999,6
29.9999,6
32.4999,6
34.9999,6
37.4999,7
39.9999,7
44.9999,7
49.9999,7
54.9999,8
59.9999,8
64.9999,8
69.9999,9
79.9999,9
89.9999,10
99.9999,10
110.0,11
120.0,11
130.0,12
139.999,12
149.999,12
159.999,13
169.999,13
179.999,14
199.999,14
224.999,15
249.999,16
274.999,17
299.999,18
324.999,18
349.999,19
374.999,20
399.999,21
449.999,22
499.999,23
549.999,24
599.999,26
649.999,27
699.999,28
799.999,30
899.999,33
999.999,35
